CustomerID,Owner_FName,Owner_Lname,CompanyName,Address,City,County,State1,State_Code,zip,Phone1,Phone2,email,web
CACTU,James,Butt,Cactus Comidas para llevar,6649 N Blue Gum St,Auburn,Orleans,Alabama,AL,70116,504-621-8927,504-845-1427,jbutt@gmail.com,http://www.bentonjohnbjr.com
OCEAN,Josephine,Darakjy,Océano Atlántico Ltda.,4 B Blue Ridge Blvd,Birmingham,Livingston,Alabama,AL,48116,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,http://www.chanayjeffreyaesq.com
RANCH,Art,Venere,Rancho grande,8 W Cerritos Ave #54,Huntsville,Gloucester,Alabama,AL,8014,856-636-8749,856-264-4130,art@venere.org,http://www.chemeljameslcpa.com
ERNSH,Lenna,Paprocki,Ernst Handel,639 Main St,Tuscaloosa,Anchorage,Alabama,AL,99501,907-385-4412,907-921-2010,lpaprocki@hotmail.com,http://www.feltzprintingservice.com
PICCO,Donette,Foller,Piccolo und mehr,34 Center St,Fort Smith,Butler,Arkansas,AR,45011,513-570-1893,513-549-4561,donette.foller@cox.net,http://www.printingdimensions.com
MAISD,Simona,Morasca,Maison Dewey,3 Mcauley Dr,Little Rock,Ashland,Arkansas,AR,44805,419-503-2484,419-800-6759,simona@morasca.com,http://www.chapmanrosseesq.com
SUPRD,Mitsue,Tollner,Suprêmes délices,7 Eads St,Chandler,Cook,Arizona,AZ,60632,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,http://www.morlongassociates.com
COMMI,Leota,Dilliard,Comércio Mineiro,7 W Jackson Blvd,Chandler,Santa Clara,Arizona,AZ,95111,408-752-3500,408-813-1105,leota@hotmail.com,http://www.commercialpress.com
FAMIA,Sage,Wieser,Familia Arquibaldo,5 Boston Ave #88,Gilbert,Minnehaha,Arizona,AZ,57105,605-414-2147,605-794-4895,sage_wieser@cox.net,http://www.truhlarandtruhlarattys.com
GOURL,Kris,Marrier,Gourmet Lanchonetes,228 Runamuck Pl #2808,Glendale,Baltimore City,Arizona,AZ,21224,410-655-8723,410-804-4694,kris@gmail.com,http://www.kingchristopheraesq.com
